URL,Description,Type
https://azure.microsoft.com/solutions/quantum-computing/ ,microsoft,Not Phishing
https://www.americanexpress.com/csp/ , americanexpress,Not Phishing
https://www.kuronekoyamato.co.jp/en/video_games/  ,Yamato Transport,Not Phishing
http://kgvromjgvs.duckdns.org/,Apple ID,Phishing
https://www.paypalobjects.com/report-spam.txt ,paypal,Not Phishing
https://wcemm.cfd/,Amazon,Phishing
https://nsdzdd.duckdns.org/,Aeon bank,Phishing
https://elmerdobing.icu/sanochikay261.php,Resona Bank,Phishing
https://ntykdjh.youdontcare.com/,SAISON CARD,Phishing
https://1acsor4.duckdns.org,Aeon bank,Phishing
https://chuangniupeizi.cn/,SAISON CARD,Phishing
https://4k66pgmw.duckdns.org,Aeon bank,Phishing
https://kevintaolinux.cn/,Mitsui Sumitomo Bank Card,Phishing
https://wsall.icu/,Epos card,Phishing
https://0916891236.com/index.php?info=1234146502482914031173,Mitsui Sumitomo Bank Card,Phishing
https://www.paypalobjects.com/seventeen.html ,paypal,Not Phishing
https://fehfgs.isasecret.com/,SAISON CARD,Phishing
https://aeon-jp.co/,AEON card,Phishing
https://9b8d1887b7389885a658f739d502ae44.gsdzkj.cn/caonige,Amazon,Phishing
https://olczcsilvensca15.cyou/bell15.php,Jibun bank,Phishing
https://www.paypalobjects.com/store.html ,paypal,Not Phishing
http://hcyvihfdcz.duckdns.org/,Apple ID,Phishing
https://rtjdsfg5.freeddns.com/,SAISON CARD,Phishing
https://www.ana.co.jp/en/us/documentary/ ,Ana,Not Phishing
https://www.paypalobjects.com/scottgu.txt ,paypal,Not Phishing
https://5xt2dc.icu/,SAISON CARD,Phishing
https://dff238ac9fa1555560d48264e5ec1710.caonimamajap.com/aeon.co.jp/,AEON card,Phishing
https://9y4a5z2j.duckdns.org/,Aeon bank,Phishing
https://minastobke.jsyahx.com/,Minato Bank,Phishing
https://entry-cgi-auth_mail-biglobe_bin-6476b172deb1e.gimtoman.com/auth-index_api_sso_webmail-rui/,BIGLOBE,Phishing
https://www.pwfmxah.cn/,SAISON CARD,Phishing
https://sacnsaiaerd.vevejfo.cn,SAISON CARD,Phishing
https://www.amazon.com/b?node=14866317011,Amazon,Not Phishing
https://www.goo-eki-co.jp.linkinto.ygcsnod.cn/,Ekinet,Phishing
https://www.ana.co.jp/en/us/games_j-r/ ,Ana,Not Phishing
https://www.michaelmattsson.com/,SAISON CARD,Phishing
https://htrfdfsdfs.faqserv.com/,Apple ID,Phishing
https://qvbawmhfffemfgrv17abc.icu/maxw17.php,Amazon,Phishing
https://www.kueronakayanotn.co.jp.xiao8i.cn/,Yamato Transport,Phishing
https://pub-f248b8d6aa1d406eaaea5c45663cdf55.r2.dev/adobemessage7.html ,Adobe,Phishing
https://czk166.cc/index.php?id=example,Apple ID,Phishing
https://9089fc631942713cd203f633d57f6cb6.thebookofash.com/caonige9089fc631942713cd203f633d57f6cb6l,Amazon,Phishing
https://kueronaakayacetn.co.jp.03940394.cn/,Yamato Transport,Phishing
https://emv1.web3ww.com/,Ekinet,Phishing
https://dwqgerfsa.organiccrap.com/,SAISON CARD,Phishing
https://www.smbec-caserd.co.jp.wvshgtf.cn/,Mitsui Sumitomo Bank Card,Phishing
https://www.kueresarsaskaycsato.co.jp.bsax.cn/,Yamato Transport,Phishing
https://cxzgrefsa.dumb1.com/,SAISON CARD,Phishing
http://direct-bank-co-jp.wiki/login,Sumitomo Mitsui Trust Bank,Phishing
https://www.paypalobjects.com/pfeil_gruen.txt ,paypal,Not Phishing
https://www.ana.co.jp/en/us/cellphone/ ,Ana,Not Phishing
https://dwqgewfa.mefound.com/,softbank,Phishing
https://www.paypalobjects.com/p80.php ,paypal,Not Phishing
https://nmdsrt4t.dynssl.com/,softbank,Phishing
www.daraz.com.bd/minister-brand/televisions/,Daraz,Not Phishing
https://amzcbg.icu/,Amazon,Phishing
https://zhenpa.cn/,SAISON CARD,Phishing
https://cakesbymeg.com/,Jibun bank,Phishing
https://r5tff.cfd/,Amazon,Phishing
https://www.kuronekoyamato.co.jp/en/xav/  ,Yamato Transport,Not Phishing
https://www2.miaeard.co.jp.kf8848.cn/,MICARD,Phishing
https://itjl42k5y.duckdns.org,Aeon bank,Phishing
https://buyer.alibaba.com/buyer/page/webinars/overview/1501002.html,Alibaba,Not Phishing
https://www.kuronekoyamato.co.jp/en/webhost/  ,Yamato Transport,Not Phishing
https://2c3df905abc783b2929ddffcc4c35281.drconzy.cn/caonige,Amazon,Phishing
www.daraz.com.bd/televisions/haier/,Daraz,Not Phishing
https://saicencard.kicxgyl.cn/,SAISON CARD,Phishing
https://www.ana.co.jp/en/us/barks/ ,Ana,Not Phishing
https://fgtyjkk.mrbonus.com/index.php?id=,SAISON CARD,Phishing
https://823mhgjdfg.cfd/index.php?id=*,softbank,Phishing
http://c8zydi.duckdns.org/,softbank,Phishing
https://www.saisencsad-co-jp.oomix.cn/,SAISON CARD,Phishing
https://www.paypalobjects.com/pillars.html ,paypal,Not Phishing
https://eopty6z0.duckdns.org,Aeon bank,Phishing
https://wxeww.cfd/index.php?info=,softbank,Phishing
https://www.ana.co.jp/en/us/freeservices/ ,Ana,Not Phishing
https://www-etuloadcardup-qrvel.work.gd/msidecrt.php?sinvu7yfte=*,ETC,Phishing
https://www.dwqghtrgfas.gettrials.com/,SAISON CARD,Phishing
https://999ii.cfd/index.php?id=*,Apple ID,Phishing
https://yt66iwsh.serveuser.com/,Apple ID,Phishing
https://bwfkxbi.cn/?info=*,AEON card,Phishing
https://827vcxhdfgfd.cfd/index.php?id=*,softbank,Phishing
https://www.paypalobjects.com/vallen_jpegger.txt ,paypal,Not Phishing
https://entry_cgi-auth_mail-biglobe_bin-64d046ab0bbd7.2broke2.com/auth_index-rui_sso-mail_apis/,BIGLOBE,Phishing
https://apps-data77accntcenters.start.page/,Facebook,Phishing
https://mieorv7e9rv.vizvaz.com,SAISON CARD,Phishing
https://www.ana.co.jp/en/us/esmbrochure/ ,Ana,Not Phishing
https://888frehtr.cfd/index.php?id=*,softbank,Phishing
https://www.kueroansounaskasaoensyasaatn.co.jp.irfkvmr.cn/,Yamato Transport,Phishing
https://yyhjtyr.onedumb.com/,Mitsui Sumitomo Bank Card,Phishing
https://lxlisetty17.buzz/harlotesi68.php,Nishinippon City Bank,Phishing
https://shixx.cfd/,Amazon,Phishing
https://www.into-eki-co.jp-admini-linkin.hfxxg.cn/,Ekinet,Phishing
https://confirmation-accountverify.start.page/ ,Facebook,Phishing
https://roxancgro9azs.top/keynes.php,Resona Bank,Phishing
https://haccpcleaner.com/,Amazon,Phishing
https://ozahve.cfd/,SAISON CARD,Phishing
https://z389t76.duckdns.org,Aeon bank,Phishing
https://smebsoenrd.ldmdkqd.cn/,Mitsui Sumitomo Bank Card,Phishing
https://vbnxx.icu/,Apple ID,Phishing
https://ctgesrtwe.itsaol.com/,Epos card,Phishing
https://emmkk.xyz/,Amazon,Phishing
https://www.kueronakayaaetn.co.jp.mk169.cn/,Yamato Transport,Phishing
https://vnuwer7ocw.organiccrap.com/,SAISON CARD,Phishing
https://bitkk.cfd/,Amazon,Phishing
https://www.ewwhs4535.ygto.com/,SAISON CARD,Phishing
https://balcolmzax.cyou/toyoshinobu97.php,Resona Bank,Phishing
https://jacos.co.jp.es163.com.cn/,JACCS,Phishing
https://accout-update-smba.jp.oppfj.fit/,Mitsui Sumitomo Bank Card,Phishing
https://6io17n.dsmtp.com/,Mitsui Sumitomo Bank Card,Phishing
http://kankokuuranai.com/cgi-bin/mt/bt/btconnect.php,BT,Phishing
https://dwqhtrhgs.jungleheart.com/,softbank,Phishing
https://www.paypalobjects.com/polaroid.php ,paypal,Not Phishing
https://www.ana.co.jp/en/us/icon_2/ ,Ana,Not Phishing
https://www.ana.co.jp/en/us/karma-0/ ,Ana,Not Phishing
https://www.etc.userinformation.injust10days.com/a3IwMDY1P3,ETC,Phishing
https://nzxtcjoa.duckdns.org,Aeon bank,Phishing
https://www.paypalobjects.com/steve_r.txt ,paypal,Not Phishing
https://43qjj.cfd/index.php?id=,Amazon,Phishing
https://qqqcxzgjy.cfd/index.php?id=*,softbank,Phishing
https://www.ana.co.jp/en/us/cadillac/ ,Ana,Not Phishing
https://www.americanexpress.com/c10/ , americanexpress,Not Phishing
https://accout.smba.jp.athenais-laval.com/,Mitsui Sumitomo Bank Card,Phishing
https://verfyacounthelp.start.page/,Facebook,Phishing
https://kuangoo.cn/index.php?info=fafd3b2744ee63d9a993faedbffb814a,Mercari,Phishing
https://anygg.cfd/,Amazon,Phishing
https://long-poetry-00ab.ramiieajwled4631.workers.dev/ ,Adobe,Phishing
https://vebyerv79.itemdb.com/,SAISON CARD,Phishing
http://uvwxx.cfd/,Amazon,Phishing
https://j63lfs5b.duckdns.org,Aeon bank,Phishing
https://x9r1e3.duckdns.org,Aeon bank,Phishing
https://cyvxwl.icu/,SAISON CARD,Phishing
https://gukjhg.freetcp.com/,Mitsui Sumitomo Bank Card,Phishing
https://www.kuronekoyamato.co.jp/en/web-20/  ,Yamato Transport,Not Phishing
https://saddlebrownsaltyclient.daravicltd.repl.co/ ,Adobe,Phishing
https://bank-gmo-aozora.is/,GMO Aozora Net Bank,Phishing
https://www.etc.userinformation.grupoamcmexico.com/a3IwMDY1P3,ETC,Phishing
https://www.il-ekii-co-jp.open.vedpajk.cn/,Ekinet,Phishing
http://vkgcyvspde.duckdns.org/,Apple ID,Phishing
https://www.admin-usermy-account-ama.co.dreamepoch.com/,Amazon,Phishing
https://wcsxdg.cfd/,Amazon,Phishing
https://www.saisonbcard.co.jp.queruan.cn/,SAISON CARD,Phishing
https://wecuwec79.cleansite.us/index.php?id=*,Apple ID,Phishing
https://f9c6zz8.duckdns.org,Aeon bank,Phishing
https://www.americanexpress.com/checksum/ , americanexpress,Not Phishing
https://www.paypalobjects.com/utility_buttons.php ,paypal,Not Phishing
https://wwwhff.cfd/index.php?id=,SAISON CARD,Phishing
https://tcfrutr.itemdb.com/,SAISON CARD,Phishing
https://tr774ikej.jetos.com/,SAISON CARD,Phishing
https://big009.weebly.com/,BIGLOBE,Phishing
http://0mia.xcquy.com/,Apple ID,Phishing
https://csangfjdfgd.dynamic-/,softbank,Phishing
https://keqjfuqshsalf3.life/,Sumitomo Mitsui Trust Bank,Phishing
http://nkmmkkcayw.duckdns.org/ja/main,Apple ID,Phishing
https://www.ana.co.jp/en/us/b3_off/ ,Ana,Not Phishing
http://www.kuerenakaycoato.co.jp.by173.cn/,Yamato Transport,Phishing
https://aeonhello.life/,AEON card,Phishing
https://priyoshopretail.com/a-couple-find-solution-in-priyoshop-to-save-their-business/,Priyoshop,Not Phishing
https://www.kuronekoyamato.co.jp/en/w32/  ,Yamato Transport,Not Phishing
https://accout-update-smba.jp.tianwang.fit/,Mitsui Sumitomo Bank Card,Phishing
https://775buencuor.cfd/,Amazon,Phishing
https://www.paypalobjects.com/thunderbirds.html ,paypal,Not Phishing
https://www.paypalobjects.com/right-3.html ,paypal,Not Phishing
https://www.ana.co.jp/en/us/b00096s3rc/ ,Ana,Not Phishing
https://60pn6x1.asia/index.php?id=,Mercari,Phishing
https://43qii.cfd/index.php?id=,Amazon,Phishing
https://www.smboc-cascerd.co.jp.6oe2cc.cfd/,Mitsui Sumitomo Bank Card,Phishing
https://servanzxc.top/kujimao930.php,AEON card,Phishing
https://kotacharcoalchicken.com/?id=*,Apple ID,Phishing
https://quaudfzi8.duckdns.org,Aeon bank,Phishing
https://www.ana.co.jp/en/us/jhi/ ,Ana,Not Phishing
https://www.paypalobjects.com/symantch.php ,paypal,Not Phishing
https://mqcdnton.picaportraits.com/makelove=*,Amazon,Phishing
https://uuser88accepts.start.page/,Facebook,Phishing
https://cpjiloh.cn/,SAISON CARD,Phishing
https://www.americanexpress.com/client/ , americanexpress,Not Phishing
https://www.ana.co.jp/en/us/index79/ ,Ana,Not Phishing
https://www.etc.userinformation.indianseat.com/a3IwMDY1P3,ETC,Phishing
https://curious-juvenile-gemini.glitch.me/iyutre.html ,Adobe,Phishing
https://fwhrhgds.almostmy.com/,SAISON CARD,Phishing
https://www.americanexpress.com/company/ , americanexpress,Not Phishing
https://799tryuytiu.cfd/,Amazon,Phishing
https://www.paypalobjects.com/patentweb.php ,paypal,Not Phishing
 https://www.kuronekoyamato.co.jp/en/img/,Kuronekoyamato,Not Phishing
https://ebvhenuor79.instanthq.com/,PayPay,Phishing
https://www.hrtkuyhfd.dns-dns.com,SAISON CARD,Phishing
http://z-j1.ynwov.com/,Apple ID,Phishing
https://www.goo-eki.co.jp-linkainc.uftxvaa.cn/,Ekinet,Phishing
https://voocc0y.duckdns.org,Aeon bank,Phishing
https://www3.nhikojp.cam/,Epos card,Phishing
https://umvbrvkxc.picaportraits.com/makelove=*,Amazon,Phishing
https://www.americanexpress.com/complaints/ , americanexpress,Not Phishing
https://btwrr34.toythieves.com/,Epos card,Phishing
https://black-amazon.com/,Amazon,Phishing
https://www.nhkplus.or.ip.kathrynsilvera.com/?9I72n1k9Az72=*,NHK,Phishing
https://yaanx6ui.duckdns.org,Aeon bank,Phishing
https://www.paypalobjects.com/t338.html ,paypal,Not Phishing
https://www.paypalobjects.com/photographic.php ,paypal,Not Phishing
https://jinqq.cfd/,Amazon,Phishing
https://grehergsd.qpoe.com/,SAISON CARD,Phishing
https://www.paypalobjects.com/part10.txt ,paypal,Not Phishing
https://w22cr3.cfd/?info=*,Yamato Transport,Phishing
http://rtuie.duckdns.org,Apple ID,Phishing
https://ipfs.io/ipfs/bafybeiewttimzjefsiuw4qhnwd6pacrv376ispb6alqdnec2 ,Adobe,Phishing
https://87749663.hologlass.co/,ETC,Phishing
https://51-120-240-197.cprapid.com/biglobe/webglobe/,BIGLOBE,Phishing
http://www.kueronakayaeotn.co.jp.by173.cn/,Yamato Transport,Phishing
https://kueroneakayacetn.co.jp.fm945.cn/,Yamato Transport,Phishing
https://d2h5yafco.duckdns.org/,Aeon bank,Phishing
https://www.americanexpress.com/commencement/ , americanexpress,Not Phishing
https://www.ghjbgjh.onedumb.com/,Mitsui Sumitomo Bank Card,Phishing
http://z-0ks.eqhob.com/,Apple ID,Phishing
https://www.ana.co.jp/en/us/belts_accessories/ ,Ana,Not Phishing
https://www.paypalobjects.com/vr2.php ,paypal,Not Phishing
https://wriswst.asia/index.php?id=,Apple ID,Phishing
https://omfield.icu/badia10.php,Shinsei Bank,Phishing
https://www.paypalobjects.com/policybriefs.php ,paypal,Not Phishing
https://www.kuronekoyamato.co.jp/en/violence/  ,Yamato Transport,Not Phishing
https://www.paypalobjects.com/sketchpad.php ,paypal,Not Phishing
http://z-0n.rgqui.com/,Apple ID,Phishing
https://mufg-ong.asia/,Epos card,Phishing
https://www.safety-for-you18236.io.vn/,Facebook,Phishing
https://online-aupyau.cyou/,au,Phishing
https://www.americanexpress.com/cctv/ , americanexpress,Not Phishing
https://www.paypalobjects.com/scandals.php ,paypal,Not Phishing
https://ozthilarde7.top/peryacob56.php,AEON card,Phishing
https://aenon-cardr.wxcsdcgs.com/,AEON card,Phishing
https://gvcuym.ink/,Jibun bank,Phishing
https://t2wiwn0.duckdns.org,Aeon bank,Phishing
http://hdznmjfeba.duckdns.org/ja/main,Apple ID,Phishing
https://www2-etceng.ilp7g.publicvm.com/msidecrt.php?sinvu7yfte=1,ETC,Phishing
https://vvvss99.cc/,Mitsui Sumitomo Bank Card,Phishing
https://r5trr.cfd/,Amazon,Phishing
https://uu5ifqwy.duckdns.org,Aeon bank,Phishing
https://www.kuronekoyamato.co.jp/en/week45/  ,Yamato Transport,Not Phishing
https://r67hh.cfd/,Amazon,Phishing
https://eeedsgls.cfd/,Amazon,Phishing
https://_.s1.m0thm.com/,Ekinet,Phishing
https://dc4301038e8f1cc70aa64fc700ef52c8.caonimamajap.org/aeon.co.jp/dc4301038e8f1cc70aa64fc700ef52c8,AEON card,Phishing
https://www.ana.co.jp/en/us/bodyart/ ,Ana,Not Phishing
https://wqervf.cfd/,Amazon,Phishing
https://grehfdhdfj.jungleheart.com/,Mitsui Sumitomo Bank Card,Phishing
https://www.saisoncard.co.jp/net/,Saisoncard,Not Phishing
https://g.bmb.jp/20/2158/10/,Amazon,Phishing
https://www.eldayspa.com/,ETC,Phishing
https://ehtgsd.mefound.com/,SAISON CARD,Phishing
https://cbuilcmw.duckdns.org,Aeon bank,Phishing
https://wcuhowec79.itemdb.com/,SAISON CARD,Phishing
https://roomhr.cn/,Apple ID,Phishing
https://www.ana.co.jp/en/us/kan/ ,Ana,Not Phishing
https://www.kueronakayaaetn.co.jp.chuzou8.cn/,Yamato Transport,Phishing
https://axjvb.cn/index.php?info=*,SAISON CARD,Phishing
https://www.star-membership-japan.com/?platform=ana-0,ANA,Phishing
http://xmieawspdb.duckdns.org/,Apple ID,Phishing
https://51rv9h6.cc/index.php?id=,Apple ID,Phishing
https://kztusnl.picaportraits.com/makelove-*,Amazon,Phishing
https://sasensacaerd.yxntabj.cn/,SAISON CARD,Phishing
https://xfwse4tggfd.vizvaz.com/,SAISON CARD,Phishing
https://htrhsga.b0tnet.com/,softbank,Phishing
https://pages.appeal-at-meta.ink/checkpoint/,Facebook,Phishing
https://psav81.duckdns.org,Aeon bank,Phishing
https://www.ana.co.jp/en/us/decrypt/ ,Ana,Not Phishing
https://pcqii.cfd/,Amazon,Phishing
https://bitqq.cfd/,Amazon,Phishing
https://lo7k74vbh.duckdns.org/,Aeon bank,Phishing
https://klxtqyxeuozarqeg.zht389.com/jp.html?id=*,Mitsui Sumitomo Bank Card,Phishing
https://interpretation-introduce.otzo.com/,Amazon,Phishing
https://mtz451nc.duckdns.org/,Aeon bank,Phishing
https://baf.awrl.buzz/,Ministry of Internal Affairs and Communications,Phishing
https://23423-423423.pages.net.br/2312313131,Facebook,Phishing
http://online-aupyau.cyou/,au,Phishing
https://crept-wem.weebly.com/,BIGLOBE,Phishing
https://www.americanexpress.com/casualties/ , americanexpress,Not Phishing
https://www.ana.co.jp/en/us/data2/ ,Ana,Not Phishing
https://www.hbytjgfhdf.jungleheart.com/,Mitsui Sumitomo Bank Card,Phishing
https://kddi-uiahds.com/,au,Phishing
https://id.grp01.vufasdz.com/,Epos card,Phishing
https://www.swengdfdsd5y.proxydns.com/,SAISON CARD,Phishing
https://www.americanexpress.com/button_home/ , americanexpress,Not Phishing
https://9xlf03eoj.duckdns.org,Aeon bank,Phishing
https://emv1.dayounft.com/,Ekinet,Phishing
https://www2.mieaad.co.jp.wps2003.cn/,MICARD,Phishing
https://www.guepardoexpress.com.br/ckeditos/cloudpdf.html ,Adobe,Phishing
https://dqgthgfas.25u.com/,SAISON CARD,Phishing
https://sweet16.com.cn/,Amazon,Phishing
https://hyrtjdfgs.dns-report.com/,SAISON CARD,Phishing
https://uqwvjmsnqz.picaportraits.com/makelove*,Amazon,Phishing
https://www.paypalobjects.com/silenced.php ,paypal,Not Phishing
https://yzn10e7.duckdns.org,Aeon bank,Phishing
https://qwedsagga.cfd/index.php?id=*,Apple ID,Phishing
https://www.bbrsijh.cn/,SAISON CARD,Phishing
https://eniu5h.cfd/?info=919617615356,SAISON CARD,Phishing
https://www1.mlcaed.co.jp.t7arr1.cfd/,MICARD,Phishing
https://www.kuronekoyamato.co.jp/en/vcd/  ,Yamato Transport,Not Phishing
https://www2.miaead.co.jp.mm247.cn/,MICARD,Phishing
https://www.paypalobjects.com/suspack.html ,paypal,Not Phishing
https://odv824a4j.duckdns.org,Aeon bank,Phishing
https://jp.nuopiao.cn/,SAISON CARD,Phishing
https://aeon-card.ftkcn.top/,AEON card,Phishing
https://www.ana.co.jp/en/us/arved/ ,Ana,Not Phishing
https://us1pzbva.net/,Mizuho Bank,Phishing
https://www.ana.co.jp/en/us/arrow_gray-right/ ,Ana,Not Phishing
https://dwqgefsda.justdied.com/,SAISON CARD,Phishing
https://6wyuul2mg.duckdns.org,Aeon bank,Phishing
https://www.ana.co.jp/en/us/enhancing/ ,Ana,Not Phishing
https://wms-sso.sensecrib.com/webmal/index-rui.jsp/source/mobile/auth.php,BIGLOBE,Phishing
https://www2.etc-merisai.jp.login.zxjvsxf.cn//msidecrt.php?sinvu7yfte=*,ETC,Phishing
https://s1.kiolqjt.cn/,SAISON CARD,Phishing
https://meomeiu.pages.net.br/is2,Facebook,Phishing
https://www.paypalobjects.com/pixel_green.txt ,paypal,Not Phishing
https://www.paypalobjects.com/reportwriter.txt ,paypal,Not Phishing
https://t2d40o5.cc/index.php?id=*,Apple ID,Phishing
https://www.softbank.jp/f/,Softbox,Not Phishing
https://h755v26m0.duckdns.org/,Aeon bank,Phishing
https://www.americanexpress.com/coupon/ , americanexpress,Not Phishing
https://kueroneakayaaetn.co.jp.cafegg.cn/,Yamato Transport,Phishing
https://826juyjhd.cfd//index.php?id=,SAISON CARD,Phishing
http://bcq2zfe00.duckdns.org/,softbank,Phishing
https://tscubic.hjttower.net/,SAISON CARD,Phishing
https://www.americanexpress.com/calls/ , americanexpress,Not Phishing
https://www.eki-net.nudxr.com/,Ekinet,Phishing
https://www.ana.co.jp/en/us/help-tools/ ,Ana,Not Phishing
https://f12jj.cfd/index.php?id=,Amazon,Phishing
https://www.etc.userinformation.jasminegoesto.com/a3IwMDY1P3,ETC,Phishing
https://www.americanexpress.com/cli/ , americanexpress,Not Phishing
https://www.paypalobjects.com/symantecpress.html ,paypal,Not Phishing
https://www.paypalobjects.com/r0.txt ,paypal,Not Phishing
https://9jjhoy8l2.duckdns.org,Aeon bank,Phishing
https://securelypay.com/post/fpost_new.php?DSTURL=https%3A%2F%2Fme-qr.com%2Fl%2Fa9ImKuaP01%3FrhsOkxpYjH3VJ14bsoqK06NraC4uY34Bcju1LUPOgc,Mitsui Sumitomo Bank Card,Phishing
https://www.americanexpress.com/consultations/ , americanexpress,Not Phishing
https://www.americanexpress.com/compguy/ , americanexpress,Not Phishing
https://www.ana.co.jp/en/us/cialis-tablet/ ,Ana,Not Phishing
https://www.paypalobjects.com/solove.php ,paypal,Not Phishing
https://t54tt.cfd/,Amazon,Phishing
https://cdkmee9gfshs3.cyou/richfa.php,TEPCO,Phishing
https://www.paypalobjects.com/secid.html ,paypal,Not Phishing
https://qrco.de/beDoie,Mitsui Sumitomo Bank Card,Phishing
http://cayxurheaz.duckdns.org/ja/main,Apple ID,Phishing
https://auth-sso-biglobe.encoreharmony.com/,BIGLOBE,Phishing
http://www2.miocrrd.co.jp.kf8848.cn/,MICARD,Phishing
